keywords,_collection_id,collection_id,variable_id,preset,tipo_estabelecimento,sizing_variable_id,indicator_label,indicator_id,variant_of,indicator_type,filter,m_description,variant_label,measure_unit,indicator_path,Tipo,skip,m_description,m_year,m_link_title1,m_link_1,m_link_title2,m_link_2,Arquivo,metodology
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_inst_ah,cem_saude_2024,UNIDADE BASICA DE SAUDE,,Presença de instalações de Atendimento Hospitalar,UNIDADE_BASICA_DE_SAUDE_bool_inst_ah,,boolean_categorical,"{str_tipo_estabelecimento: ['==', 'UNIDADE BASICA DE SAUDE']}",,,,Saúde / 2023 / Estabelecimentos de Saúde / UBS / Instalações,,,Presença de instalações de Atendimento Hospitalar na UBS.,2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/UNIDADE_BASICA_DE_SAUDE_bool_inst_ah.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_equipamentos,cem_saude_2024,AMBULATORIO E PRONTO ATENDIMENTO,,Quantidade de Equipamentos,AMBULATORIO_E_PRONTO_ATENDIMENTO_int_equipamentos,,numerical_size,"{str_tipo_estabelecimento: ['in', ['AMBULATORIO', 'PRONTO ATENDIMENTO']]}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Ambulatório e Pronto Atendimento / Infraestrutura,,,Quantidade de equipamentos médicos de quaisquer tipos disponíveis na unidade ambulatorial ou pronto atendimento.,2023,,,,,CNES TABWIN,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/AMBULATORIO_E_PRONTO_ATENDIMENTO_int_equipamentos.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_equipamentos_dif,cem_saude_2024,AMBULATORIO E PRONTO ATENDIMENTO,,Quantidade de Equipamentos Diferentes,AMBULATORIO_E_PRONTO_ATENDIMENTO_int_equipamentos_dif,,numerical_size,"{str_tipo_estabelecimento: ['in', ['AMBULATORIO', 'PRONTO ATENDIMENTO']]}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Ambulatório e Pronto Atendimento / Infraestrutura,,,Diversidade de equipamentos disponíveis no hospital. Medida que contabiliza tipos diferentes de equipamentos por unidade ambulatorial ou pronto atendimento.,2023,,,,,CNES TABWIN,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/AMBULATORIO_E_PRONTO_ATENDIMENTO_int_equipamentos_dif.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_esp_dif,cem_saude_2024,AMBULATORIO E PRONTO ATENDIMENTO,,Quantidade de especializações diferentes,AMBULATORIO_E_PRONTO_ATENDIMENTO_int_esp_dif,,numerical_size,"{str_tipo_estabelecimento: ['in', ['AMBULATORIO', 'PRONTO ATENDIMENTO']]}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Ambulatório e Pronto Atendimento / Profissionais,,,Quantidade de especializações profissionais distintas na unidade ambulatorial ou pronto atendimento.,2023,,,,,CNES TABWIN,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/AMBULATORIO_E_PRONTO_ATENDIMENTO_int_esp_dif.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_horas_sus,cem_saude_2024,AMBULATORIO E PRONTO ATENDIMENTO,,Horas SUS,AMBULATORIO_E_PRONTO_ATENDIMENTO_int_horas_sus,,numerical_size,"{str_tipo_estabelecimento: ['in', ['AMBULATORIO', 'PRONTO ATENDIMENTO']]}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Ambulatório e Pronto Atendimento / Profissionais,,,Total de horas dedicadas ao SUS de todos os profissionais da unidade ambulatorial ou pronto atendimento.,2023,,,,,CNES TABWIN,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/AMBULATORIO_E_PRONTO_ATENDIMENTO_int_horas_sus.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_medicos,cem_saude_2024,AMBULATORIO E PRONTO ATENDIMENTO,,Quantidade de Médicos,AMBULATORIO_E_PRONTO_ATENDIMENTO_int_medicos,,numerical_size,"{str_tipo_estabelecimento: ['in', ['AMBULATORIO', 'PRONTO ATENDIMENTO']]}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Ambulatório e Pronto Atendimento / Profissionais,,,"Quantidade de médicos atuando na unidade ambulatorial ou pronto atendimento, independente de carga horária profissional.",2023,,,,,CNES TABWIN,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/AMBULATORIO_E_PRONTO_ATENDIMENTO_int_medicos.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,int_profs,cem_saude_2024,AMBULATORIO E PRONTO ATENDIMENTO,,Quantidade de Profissionais,AMBULATORIO_E_PRONTO_ATENDIMENTO_int_profs,,numerical_size,"{str_tipo_estabelecimento: ['in', ['AMBULATORIO', 'PRONTO ATENDIMENTO']]}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Ambulatório e Pronto Atendimento / Profissionais,,,"Total de profissionais, incluindo médicos, atuando na unidade ambulatorial ou pronto atendimento.",2023,,,,,CNES TABWIN,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/AMBULATORIO_E_PRONTO_ATENDIMENTO_int_profs.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_at_24h,cem_saude_2024,AMBULATORIO E PRONTO ATENDIMENTO,,Turno de Atendimento 24 horas,AMBULATORIO_E_PRONTO_ATENDIMENTO_bool_at_24h,,boolean_categorical,"{str_tipo_estabelecimento: ['in', ['AMBULATORIO', 'PRONTO ATENDIMENTO']]}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Ambulatório e Pronto Atendimento / Infraestrutura,,,Indica se a unidade ambulatorial ou de pronto atendimento possui atendimento 24 horas ou não.,2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/AMBULATORIO_E_PRONTO_ATENDIMENTO_bool_at_24h.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_inst_aa,cem_saude_2024,AMBULATORIO E PRONTO ATENDIMENTO,int_inst_aa,Instalações de Atendimento Ambulatorial,AMBULATORIO_E_PRONTO_ATENDIMENTO_bool_inst_aa,,boolean_categorical,"{str_tipo_estabelecimento: ['in', ['AMBULATORIO', 'PRONTO ATENDIMENTO']]}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Ambulatório e Pronto Atendimento / Instalações,,,Presença e quantidade de instalações físicas de atendimento ambulatorial na unidade ambulatorial ou de pronto atendimento.,2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/AMBULATORIO_E_PRONTO_ATENDIMENTO_bool_inst_aa.md
,cem_malha_estabelecimentos_saude_rms,cem_malha_estabelecimentos_saude_v2,bool_inst_cc,cem_saude_2024,AMBULATORIO E PRONTO ATENDIMENTO,int_inst_cc,Instalações de Atendimento Cirúrgico,AMBULATORIO_E_PRONTO_ATENDIMENTO_bool_inst_cc,,boolean_categorical,"{str_tipo_estabelecimento: ['in', ['AMBULATORIO', 'PRONTO ATENDIMENTO']]}",,,,Saúde / 2023 / Estabelecimentos de Saúde / Ambulatório e Pronto Atendimento / Instalações,,,"Presença e quantidade de instalações físicas do tipo ""centro cirúrgico"" na unidade ambulatorial ou de pronto atendimento.",2023,,,,,,https://raw.githubusercontent.com/cem-usp/georedus_metodologia/refs/heads/main/saude/AMBULATORIO_E_PRONTO_ATENDIMENTO_bool_inst_cc.md
